"Filtro: ","Cod. Empresa = 2-FZP","","","","",""
"Nota","","","Valor","Valor","Qte.","Preço"
"Fiscal","","Cliente","Venda","Comiss.","Venda","Médio"
"----------","","------------","-----------","-------","---------","----------"
"NFE**7926","","PARAISO MOD","675,00","20,25","500,000","1,3500"
"NFE**7930","","VALENTINA","1.312,00","39,36","500,000","2,6240"
"NFE**7936","","FLAVIO A","5.440,00","163,20","2.000,000","2,7200"
"NFE**7941","","CAPISTRANO","2.130,00","63,90","1.200,000","1,7750"
"NFE**7943","","SAO PEDRO C","568,17","17,05","321,000","1,7700"
"NFE**7944","","BRASIL TEXTI","5.774,39","288,72","427,100","13,5200"
"NFE**7945","","TRILHA SOUTH","4.617,00","138,51","1.800,000","2,5650"
"NFE**7948","","SP COUROS","14.361,15","430,83","10.400,00","1,3809"
"NFE**7949","","CASA KIM","4.216,50","126,50","10.500,00","0,4016"
"NFE**7951","","PLASTICOS CO","8.293,50","0,00","3.500,000","2,3696"
"NFE**7952","","DIMASOL","686,00","20,58","1.000,000","0,6860"
"NFE**7953","","REDENTOR","30.199,25","905,98","13.953,00","2,1644"
"NFE**7957","","ORG. BR","3.760,00","112,80","2.000,000","1,8800"
"NFE**7959","","T.R","15.173,50","455,20","135.000,0","0,1124"
"NFE**7960","","FORTE IND","1.730,40","69,22","700,000","2,4720"
"NFE**7964","","LS COSTA","3.654,00","109,62","2.300,000","1,5887"
"NFE**7965","","PENA VERDE","8.800,00","0,00","5.000,000","1,7600"
"NFE**7968","","PRO 10","2.760,00","82,80","1.500,000","1,8400"
"NFE**7969","","KILOMAX","561,60","16,85","62,400","9,0000"
"NFE**7973","","BELMIRO","1.725,00","51,75","1.000,000","1,7250"
"NFE**7978","","HUANG","3.847,50","115,42","75.000,00","0,0513"
"NFE**7980","","PLAST.PAULIS","1.964,90","58,95","740,000","2,6553"
"NFE**7982","","SALDANHA","1.434,30","0,00","2.100,000","0,6830"
"NFE**7985","","MAGAZINE PE","7.319,45","0,00","15.300,00","0,4784"
"NFE**7987","","T.R","4.067,00","122,01","2.000,000","2,0335"
"NFE**7988","","RIO OCEANO","1.880,00","56,40","1.000,000","1,8800"
"NFE**7993","","ATIVO SURF","5.250,00","157,50","3.000,000","1,7500"
"NFE**7995","","JOAO RAFHAEL","2.550,00","127,50","1.000,000","2,5500"
"NFE**8005","","DISPLABOL","4.960,00","148,80","64.000,00","0,0775"
"NFE**8007","","EDSON LORENA","5.755,61","0,00","12.164,00","0,4732"
